Human_gene_stable_ID	symbol_human
ENSG00000107020	PLGRKT
ENSG00000187838	NA
ENSG00000140521	POLG
ENSG00000099821	POLRMT
ENSG00000171497	NA
ENSG00000143224	PPOX
ENSG00000092020	NA
ENSG00000100033	PRODH
ENSG00000277196	NA
ENSG00000100890	PRORP
ENSG00000106246	PTCD1
ENSG00000132300	PTCD3
ENSG00000110536	NA
ENSG00000177192	PUS1
ENSG00000213339	QTRT1
ENSG00000169228	RAB24
ENSG00000118873	NA
ENSG00000151164	NA
ENSG00000146282	RARS2
ENSG00000101546	RBFA
ENSG00000182872	NA
ENSG00000160439	NA
ENSG00000092871	NA
ENSG00000177963	NA
ENSG00000176623	RMDN1
ENSG00000155906	RMND1
ENSG00000118518	NA
ENSG00000129197	NA
ENSG00000153574	RPIA
ENSG00000136444	RSAD1
ENSG00000104835	NA
ENSG00000156304	NA
ENSG00000073169	SELENOO
ENSG00000122335	SERAC1
ENSG00000144040	SFXN5
ENSG00000182199	SHMT2
ENSG00000142082	SIRT3
ENSG00000089163	SIRT4
ENSG00000115840	SLC25A12
ENSG00000177542	SLC25A22
ENSG00000155287	SLC25A28
ENSG00000164933	SLC25A32
ENSG00000147454	SLC25A37
ENSG00000144659	SLC25A38
ENSG00000122696	SLC25A51
ENSG00000141437	SLC25A52
ENSG00000269743	SLC25A53
ENSG00000014824	SLC30A9
ENSG00000198917	NA
ENSG00000106028	NA
ENSG00000010327	NA
ENSG00000136874	STX17
ENSG00000175600	SUGCT
ENSG00000156502	SUPV3L1
ENSG00000148291	NA
ENSG00000102125	TAFAZZIN
ENSG00000144559	NA
ENSG00000143374	TARS2
ENSG00000136270	TBRG4
ENSG00000179152	TCAIM
ENSG00000159445	THEM4
ENSG00000113119	NA
ENSG00000184857	TMEM186
ENSG00000025772	TOMM34
ENSG00000177302	NA
ENSG00000104907	TRMT1
ENSG00000126814	TRMT5
ENSG00000072756	TRNT1
ENSG00000167112	TRUB2
ENSG00000107815	TWNK
ENSG00000162971	NA
ENSG00000185019	NA
ENSG00000076248	UNG
ENSG00000174109	C16orf91
ENSG00000123552	NA
ENSG00000137411	NA
ENSG00000048707	VPS13D
ENSG00000085449	NA
ENSG00000161996	NA
ENSG00000182362	YBEY
ENSG00000173208	ABCD2
ENSG00000167315	ACAA2
ENSG00000115361	ACADL
ENSG00000122971	ACADS
ENSG00000196177	ACADSB
ENSG00000072778	ACADVL
ENSG00000075239	ACAT1
ENSG00000112304	ACOT13
ENSG00000176715	ACSF3
ENSG00000151726	ACSL1
ENSG00000172482	AGXT
ENSG00000147853	AK3
ENSG00000198074	AKR1B10
ENSG00000111275	ALDH2
ENSG00000164904	ALDH7A1
ENSG00000143149	ALDH9A1
ENSG00000125652	ALKBH7
ENSG00000145020	AMT
ENSG00000100823	APEX1
ENSG00000184831	APOO
ENSG00000155008	APOOL
ENSG00000152234	ATP5F1A
ENSG00000110955	ATP5F1B
ENSG00000165629	ATP5F1C
ENSG00000099624	ATP5F1D
ENSG00000124172	ATP5F1E
ENSG00000154518	ATP5MC3
ENSG00000169020	ATP5ME
ENSG00000241468	ATP5MF
ENSG00000156411	ATP5MJ
ENSG00000173915	ATP5MK
ENSG00000116459	ATP5PB
ENSG00000154723	ATP5PF
ENSG00000241837	ATP5PO
ENSG00000185825	NA
ENSG00000140379	BCL2A1
ENSG00000099968	BCL2L13
ENSG00000104765	BNIP3L
ENSG00000176720	BOK
ENSG00000163170	BOLA3
ENSG00000137274	BPHL
ENSG00000106245	NA
ENSG00000108561	C1QBP
ENSG00000121691	CAT
ENSG00000145439	CBR4
ENSG00000218739	NA
ENSG00000250479	NA
ENSG00000106153	CHCHD2
ENSG00000122873	CISD1
ENSG00000162129	CLPB
ENSG00000103121	CMC2
ENSG00000183978	COA3
ENSG00000183513	COA5
ENSG00000168275	COA6
ENSG00000162377	COA7
ENSG00000167186	COQ7
ENSG00000163050	COQ8A
ENSG00000131143	COX4I1
ENSG00000178741	COX5A
ENSG00000111775	COX6A1
ENSG00000126267	COX6B1
ENSG00000160471	COX6B2
ENSG00000164919	COX6C
ENSG00000112695	COX7A2
ENSG00000176340	COX8A
ENSG00000157184	CPT2
ENSG00000095321	CRAT
ENSG00000088766	CRLS1
ENSG00000005469	CROT
ENSG00000116791	CRYZ
ENSG00000155368	DBI
ENSG00000104325	DECR1
ENSG00000137038	DMAC1
ENSG00000120675	DNAJC15
ENSG00000205981	DNAJC19
ENSG00000176410	DNAJC30
ENSG00000104823	NA
ENSG00000127884	ECHS1
ENSG00000167969	ECI1
ENSG00000113790	EHHADH
ENSG00000140374	ETFA
ENSG00000105379	ETFB
ENSG00000171503	ETFDH
ENSG00000205707	ETFRF1
ENSG00000163586	FABP1
ENSG00000035141	FAM136A
ENSG00000114023	FAM162A
ENSG00000124098	FAM210B
ENSG00000137714	FDX1
ENSG00000167996	FTH1
ENSG00000160221	GATD3A
ENSG00000100116	GCAT
ENSG00000140905	GCSH
ENSG00000165678	GHITM
ENSG00000178445	GLDC
ENSG00000167699	GLOD4
ENSG00000125166	GOT2
ENSG00000233276	GPX1
ENSG00000137106	GRHPR
ENSG00000109519	GRPEL1
ENSG00000197448	GSTK1
ENSG00000143774	GUK1
ENSG00000138796	HADH
ENSG00000138029	HADHB
ENSG00000119431	HDHD3
ENSG00000106049	HIBADH
ENSG00000175202	NA
ENSG00000146066	HIGD2A
ENSG00000169567	HINT1
ENSG00000072506	HSD17B10
ENSG00000133835	HSD17B4
ENSG00000119471	HSDL2
ENSG00000115541	HSPE1
ENSG00000109854	HTATIP2
ENSG00000065427	KARS1
ENSG00000120992	LYPLA1
ENSG00000083099	LYRM2
ENSG00000162972	MAIP1
ENSG00000189221	MAOA
ENSG00000146701	MDH2
ENSG00000008394	MGST1
ENSG00000173436	MICOS10
ENSG00000174917	MICOS13
ENSG00000103150	MLYCD
ENSG00000146085	MMUT
ENSG00000060762	MPC1
ENSG00000143158	MPC2
ENSG00000128309	MPST
ENSG00000169288	MRPL1
ENSG00000174547	MRPL11
ENSG00000262814	MRPL12
ENSG00000172172	MRPL13
ENSG00000166902	MRPL16
ENSG00000158042	MRPL17
ENSG00000242485	MRPL20
ENSG00000108826	MRPL27
ENSG00000185414	MRPL30
ENSG00000106591	MRPL32
ENSG00000130312	MRPL34
ENSG00000132313	MRPL35
ENSG00000171421	MRPL36
ENSG00000185608	MRPL40
ENSG00000278845	NA
ENSG00000149792	MRPL49
ENSG00000136897	MRPL50
ENSG00000111639	MRPL51
ENSG00000183617	MRPL54
ENSG00000173141	MRPL57
ENSG00000167862	MRPL58
ENSG00000120333	MRPS14
ENSG00000182180	MRPS16
ENSG00000062582	MRPS24
ENSG00000131368	MRPS25
ENSG00000112996	MRPS30
ENSG00000102738	MRPS31
ENSG00000090263	MRPS33
ENSG00000074071	MRPS34
ENSG00000061794	MRPS35
ENSG00000117791	MTARC2
ENSG00000137409	MTCH1
ENSG00000122085	MTERF4
ENSG00000136371	MTHFS
ENSG00000213347	NA
ENSG00000163382	NAXE
ENSG00000125356	NDUFA1
ENSG00000186010	NDUFA13
ENSG00000189043	NDUFA4
ENSG00000184983	NA
ENSG00000267855	NDUFA7
ENSG00000119421	NDUFA8
ENSG00000139180	NDUFA9
ENSG00000137806	NDUFAF1
ENSG00000164182	NDUFAF2
ENSG00000224877	NDUFAF8
ENSG00000140990	NDUFB10
ENSG00000147123	NDUFB11
ENSG00000090266	NDUFB2
ENSG00000119013	NDUFB3
ENSG00000136521	NDUFB5
ENSG00000165264	NDUFB6
ENSG00000166136	NDUFB8
ENSG00000147684	NDUFB9
ENSG00000109390	NDUFC1
ENSG00000151366	NDUFC2
ENSG00000164258	NDUFS4
ENSG00000168653	NDUFS5
ENSG00000145494	NDUFS6
ENSG00000115286	NDUFS7
ENSG00000178127	NDUFV2
ENSG00000165028	NIPSNAP3B
ENSG00000136783	NIPSNAP3A
ENSG00000114021	NIT2
ENSG00000109180	OCIAD1
ENSG00000116288	PARK7
ENSG00000162396	PARS2
ENSG00000114054	PCCB
ENSG00000004799	PDK4
ENSG00000164951	PDP1
ENSG00000158828	PINK1
ENSG00000241878	PISD
ENSG00000127838	PNKD
ENSG00000004142	POLDIP2
ENSG00000167815	PRDX2
ENSG00000165672	PRDX3
ENSG00000123131	PRDX4
ENSG00000126432	PRDX5
ENSG00000117592	PRDX6
ENSG00000122378	PRXL2A
ENSG00000156471	NA
ENSG00000176894	PXMP2
ENSG00000151552	QDPR
ENSG00000076043	REXO2
ENSG00000073578	SDHA
ENSG00000154079	SDHAF4
ENSG00000117118	SDHB
ENSG00000143252	SDHC
ENSG00000204370	SDHD
ENSG00000085491	NA
ENSG00000125434	SLC25A35
ENSG00000005022	SLC25A5
ENSG00000138079	NA
ENSG00000119705	SLIRP
ENSG00000183172	NA
ENSG00000232388	NA
ENSG00000111850	SMIM8
ENSG00000142168	SOD1
ENSG00000291237	NA
ENSG00000116096	SPR
ENSG00000137767	SQOR
ENSG00000148175	STOM
ENSG00000163541	SUCLG1
ENSG00000139531	SUOX
ENSG00000148290	NA
ENSG00000108064	TFAM
ENSG00000126768	TIMM17B
ENSG00000177370	NA
ENSG00000126953	TIMM8A
ENSG00000150779	TIMM8B
ENSG00000171204	TMEM126B
ENSG00000144120	TMEM177
ENSG00000215712	NA
ENSG00000175606	TMEM70
ENSG00000100216	TOMM22
ENSG00000214736	TOMM6
ENSG00000196683	TOMM7
ENSG00000154174	TOMM70
ENSG00000123297	TSFM
ENSG00000100300	TSPO
ENSG00000128311	TST
ENSG00000178952	TUFM
ENSG00000025708	NA
ENSG00000184076	UQCR10
ENSG00000127540	UQCR11
ENSG00000010256	UQCRC1
ENSG00000140740	UQCRC2
ENSG00000169021	UQCRFS1
ENSG00000233954	NA
ENSG00000173660	UQCRH
ENSG00000165637	VDAC2
ENSG00000078668	VDAC3
